OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
489,CINCINNATI,CINCINNATI,SF-10,
490,CINCINNATI,CINCINNATI,RMX,
491,CINCINNATI,CINCINNATI,PR,
492,CINCINNATI,CINCINNATI,RM-2.0,
493,CINCINNATI,CINCINNATI,CC-M,
777,CINCINNATI,CINCINNATI,PR,
778,CINCINNATI,CINCINNATI,PR,
779,CINCINNATI,CINCINNATI,SF-2,
780,CINCINNATI,CINCINNATI,MG,
781,CINCINNATI,CINCINNATI,SF-4,
782,CINCINNATI,CINCINNATI,PR,
783,CINCINNATI,CINCINNATI,PR,
784,CINCINNATI,CINCINNATI,CN-M,
785,CINCINNATI,CINCINNATI,PR,
786,CINCINNATI,CINCINNATI,RM-0.7,
787,CINCINNATI,CINCINNATI,RM-1.2,
788,CINCINNATI,CINCINNATI,SF-2,
789,CINCINNATI,CINCINNATI,RM-1.2,
903,CINCINNATI,CINCINNATI,RM-0.7,
904,CINCINNATI,CINCINNATI,RM-0.7,
905,CINCINNATI,CINCINNATI,RM-0.7,
906,CINCINNATI,CINCINNATI,RM-0.7,
907,CINCINNATI,CINCINNATI,RM-0.7,
908,CINCINNATI,CINCINNATI,SF-4,
909,CINCINNATI,CINCINNATI,RM-2.0,
910,CINCINNATI,CINCINNATI,CC-A,
911,CINCINNATI,CINCINNATI,CC-A,
912,CINCINNATI,CINCINNATI,ML,
913,CINCINNATI,CINCINNATI,RMX,
520,CINCINNATI,CINCINNATI,RMX,
521,CINCINNATI,CINCINNATI,PR,
522,CINCINNATI,CINCINNATI,RMX,
523,CINCINNATI,CINCINNATI,CC-A,
524,CINCINNATI,CINCINNATI,SF-4,
525,CINCINNATI,CINCINNATI,CC-M,
526,CINCINNATI,CINCINNATI,PR,
527,CINCINNATI,CINCINNATI,RMX,
528,CINCINNATI,CINCINNATI,PR,
529,CINCINNATI,CINCINNATI,SF-6,
530,CINCINNATI,CINCINNATI,RM-0.7,
646,CINCINNATI,CINCINNATI,RM-2.0,
647,CINCINNATI,CINCINNATI,RM-1.2,
648,CINCINNATI,CINCINNATI,CC-M,
649,CINCINNATI,CINCINNATI,RM-2.0,
650,CINCINNATI,CINCINNATI,SF-20,
651,CINCINNATI,CINCINNATI,CC-A,
652,CINCINNATI,CINCINNATI,OL,
653,CINCINNATI,CINCINNATI,PR,
654,CINCINNATI,CINCINNATI,PR,
655,CINCINNATI,CINCINNATI,RM-2.0,
656,CINCINNATI,CINCINNATI,RMX,
657,CINCINNATI,CINCINNATI,OL,
658,CINCINNATI,CINCINNATI,PR,
790,CINCINNATI,CINCINNATI,RMX,
791,CINCINNATI,CINCINNATI,OL,
792,CINCINNATI,CINCINNATI,PR,
793,CINCINNATI,CINCINNATI,RM-2.0,
794,CINCINNATI,CINCINNATI,RM-2.0,
795,CINCINNATI,CINCINNATI,RM-1.2,
796,CINCINNATI,CINCINNATI,SF-4,
797,CINCINNATI,CINCINNATI,CC-M,
798,CINCINNATI,CINCINNATI,CN-P,
799,CINCINNATI,CINCINNATI,CG-A,
914,CINCINNATI,CINCINNATI,SF-4,
915,CINCINNATI,CINCINNATI,ML,
916,CINCINNATI,CINCINNATI,CN-P,
917,CINCINNATI,CINCINNATI,SF-6,
918,CINCINNATI,CINCINNATI,CC-P,
919,CINCINNATI,CINCINNATI,ML,
920,CINCINNATI,CINCINNATI,SF-10,
921,CINCINNATI,CINCINNATI,CN-P,
531,CINCINNATI,CINCINNATI,RM-1.2,
532,CINCINNATI,CINCINNATI,CC-A,
533,CINCINNATI,CINCINNATI,SF-2,
534,CINCINNATI,CINCINNATI,CG-A,
535,CINCINNATI,CINCINNATI,RM-2.0,
659,CINCINNATI,CINCINNATI,RM-0.7,
660,CINCINNATI,CINCINNATI,RM-0.7,
661,CINCINNATI,CINCINNATI,PR,
662,CINCINNATI,CINCINNATI,CC-M,
663,CINCINNATI,CINCINNATI,RM-1.2,
800,CINCINNATI,CINCINNATI,RM-1.2,
801,CINCINNATI,CINCINNATI,RF-R,
802,CINCINNATI,CINCINNATI,RM-2.0,
803,CINCINNATI,CINCINNATI,ML,
804,CINCINNATI,CINCINNATI,CC-A,
922,CINCINNATI,CINCINNATI,RMX,
923,CINCINNATI,CINCINNATI,CC-A,
924,CINCINNATI,CINCINNATI,RM-1.2,
925,CINCINNATI,CINCINNATI,RMX,
926,CINCINNATI,CINCINNATI,RM-2.0,
927,CINCINNATI,CINCINNATI,PR,
536,CINCINNATI,CINCINNATI,OL,
537,CINCINNATI,CINCINNATI,OL,
538,CINCINNATI,CINCINNATI,RM-1.2,
539,CINCINNATI,CINCINNATI,PR,
540,CINCINNATI,CINCINNATI,RM-2.0,
541,CINCINNATI,CINCINNATI,SF-6,
664,CINCINNATI,CINCINNATI,SF-6,
665,CINCINNATI,CINCINNATI,CG-A,
666,CINCINNATI,CINCINNATI,PR,
667,CINCINNATI,CINCINNATI,PR,
668,CINCINNATI,CINCINNATI,PR,
669,CINCINNATI,CINCINNATI,SF-6,
670,CINCINNATI,CINCINNATI,SF-6,
671,CINCINNATI,CINCINNATI,SF-2,
672,CINCINNATI,CINCINNATI,MG,
673,CINCINNATI,CINCINNATI,PR,
805,CINCINNATI,CINCINNATI,RM-0.7,
806,CINCINNATI,CINCINNATI,CG-A,
807,CINCINNATI,CINCINNATI,CN-P,
808,CINCINNATI,CINCINNATI,RM-2.0,
809,CINCINNATI,CINCINNATI,RMX,
810,CINCINNATI,CINCINNATI,CG-A,
811,CINCINNATI,CINCINNATI,SF-6,
812,CINCINNATI,CINCINNATI,CC-P,
813,CINCINNATI,CINCINNATI,RMX,
814,CINCINNATI,CINCINNATI,SF-6,
928,CINCINNATI,CINCINNATI,ML,
929,CINCINNATI,CINCINNATI,RM-2.0,
930,CINCINNATI,CINCINNATI,CN-M,
931,CINCINNATI,CINCINNATI,PR,
932,CINCINNATI,CINCINNATI,CN-M,
933,CINCINNATI,CINCINNATI,RMX,
934,CINCINNATI,CINCINNATI,CC-M,
935,CINCINNATI,CINCINNATI,SF-4,
936,CINCINNATI,CINCINNATI,CC-M,
542,CINCINNATI,CINCINNATI,SF-6,
543,CINCINNATI,CINCINNATI,PR,
544,CINCINNATI,CINCINNATI,PR,
545,CINCINNATI,CINCINNATI,MG,
546,CINCINNATI,CINCINNATI,ML,
547,CINCINNATI,CINCINNATI,RMX,
548,CINCINNATI,CINCINNATI,OL,
549,CINCINNATI,CINCINNATI,RM-1.2,
674,CINCINNATI,CINCINNATI,PR,
675,CINCINNATI,CINCINNATI,PR,
676,CINCINNATI,CINCINNATI,RF-R,
677,CINCINNATI,CINCINNATI,PR,
678,CINCINNATI,CINCINNATI,T3N,
679,CINCINNATI,CINCINNATI,PR,
680,CINCINNATI,CINCINNATI,RMX,
681,CINCINNATI,CINCINNATI,PR,
815,CINCINNATI,CINCINNATI,RM-2.0,
816,CINCINNATI,CINCINNATI,RM-1.2,
817,CINCINNATI,CINCINNATI,RM-0.7,
818,CINCINNATI,CINCINNATI,CN-P,
819,CINCINNATI,CINCINNATI,CC-M,
820,CINCINNATI,CINCINNATI,IR,
955,CINCINNATI,CINCINNATI,PR,
956,CINCINNATI,CINCINNATI,CC-A,
957,CINCINNATI,CINCINNATI,RMX,
958,CINCINNATI,CINCINNATI,RM-1.2,
959,CINCINNATI,CINCINNATI,PR,
960,CINCINNATI,CINCINNATI,SF-20,
961,CINCINNATI,CINCINNATI,RM-0.7,
962,CINCINNATI,CINCINNATI,RMX,
963,CINCINNATI,CINCINNATI,PR,
964,CINCINNATI,CINCINNATI,RM-1.2,
550,CINCINNATI,CINCINNATI,T3E,
551,CINCINNATI,CINCINNATI,T3E,
552,CINCINNATI,CINCINNATI,T3E,
553,CINCINNATI,CINCINNATI,PR,
554,CINCINNATI,CINCINNATI,SF-10,
682,CINCINNATI,CINCINNATI,RM-2.0,
683,CINCINNATI,CINCINNATI,RMX,
684,CINCINNATI,CINCINNATI,RM-2.0,
685,CINCINNATI,CINCINNATI,PR,
821,CINCINNATI,CINCINNATI,SF-2,
822,CINCINNATI,CINCINNATI,SF-6,
823,CINCINNATI,CINCINNATI,CN-M,
824,CINCINNATI,CINCINNATI,SF-10,
825,CINCINNATI,CINCINNATI,CC-P,
826,CINCINNATI,CINCINNATI,PR,
980,CINCINNATI,CINCINNATI,CC-M,
981,CINCINNATI,CINCINNATI,ML,
982,CINCINNATI,CINCINNATI,CC-M,
983,CINCINNATI,CINCINNATI,SF-20,
984,CINCINNATI,CINCINNATI,CN-P,
985,CINCINNATI,CINCINNATI,CN-M,
986,CINCINNATI,CINCINNATI,SF-2,
987,CINCINNATI,CINCINNATI,PR,
555,CINCINNATI,CINCINNATI,OL,
556,CINCINNATI,CINCINNATI,SF-4,
557,CINCINNATI,CINCINNATI,CC-P,
558,CINCINNATI,CINCINNATI,RM-1.2,
559,CINCINNATI,CINCINNATI,RM-2.0,
560,CINCINNATI,CINCINNATI,RF-C,
561,CINCINNATI,CINCINNATI,OL,
562,CINCINNATI,CINCINNATI,SF-2,
686,CINCINNATI,CINCINNATI,RMX,
687,CINCINNATI,CINCINNATI,SF-4,
688,CINCINNATI,CINCINNATI,CC-P,
689,CINCINNATI,CINCINNATI,SF-2,
827,CINCINNATI,CINCINNATI,RMX,
828,CINCINNATI,CINCINNATI,PR,
829,CINCINNATI,CINCINNATI,CC-M,
830,CINCINNATI,CINCINNATI,PR,
831,CINCINNATI,CINCINNATI,CC-M,
832,CINCINNATI,CINCINNATI,SF-4,
833,CINCINNATI,CINCINNATI,RM-2.0,
1012,CINCINNATI,CINCINNATI,SF-2,
1013,CINCINNATI,CINCINNATI,RF-R,
1014,CINCINNATI,CINCINNATI,RMX,
1015,CINCINNATI,CINCINNATI,CG-A,
1016,CINCINNATI,CINCINNATI,ML,
1017,CINCINNATI,CINCINNATI,RF-R,
1018,CINCINNATI,CINCINNATI,MG,
1019,CINCINNATI,CINCINNATI,MG,
1020,CINCINNATI,CINCINNATI,MG,
1021,CINCINNATI,CINCINNATI,MG,
1022,CINCINNATI,CINCINNATI,MG,
1023,CINCINNATI,CINCINNATI,ML,
1024,CINCINNATI,CINCINNATI,CN-P,
1025,CINCINNATI,CINCINNATI,CC-P,
563,CINCINNATI,CINCINNATI,SF-10,
564,CINCINNATI,CINCINNATI,PR,
565,CINCINNATI,CINCINNATI,RF-C,
566,CINCINNATI,CINCINNATI,CN-M,
567,CINCINNATI,CINCINNATI,SF-4,
568,CINCINNATI,CINCINNATI,MG,
569,CINCINNATI,CINCINNATI,SF-4,
570,CINCINNATI,CINCINNATI,CN-M,
571,CINCINNATI,CINCINNATI,SF-2,
690,CINCINNATI,CINCINNATI,SF-6,
691,CINCINNATI,CINCINNATI,PR,
692,CINCINNATI,CINCINNATI,RM-1.2,
693,CINCINNATI,CINCINNATI,CC-A,
694,CINCINNATI,CINCINNATI,SF-2,
695,CINCINNATI,CINCINNATI,CC-A,
696,CINCINNATI,CINCINNATI,RM-1.2,
697,CINCINNATI,CINCINNATI,PR,
698,CINCINNATI,CINCINNATI,T4N.SF,
834,CINCINNATI,CINCINNATI,T4N.SF,
835,CINCINNATI,CINCINNATI,T4N.SF,
836,CINCINNATI,CINCINNATI,T5F,
837,CINCINNATI,CINCINNATI,T4N.MF-O,
838,CINCINNATI,CINCINNATI,T5N.SS-O,
839,CINCINNATI,CINCINNATI,T5N.LS-O,
840,CINCINNATI,CINCINNATI,CN-M,
965,CINCINNATI,CINCINNATI,CC-M,
966,CINCINNATI,CINCINNATI,SF-4,
967,CINCINNATI,CINCINNATI,ML,
968,CINCINNATI,CINCINNATI,SF-2,
572,CINCINNATI,CINCINNATI,CN-M,
573,CINCINNATI,CINCINNATI,T3E,
574,CINCINNATI,CINCINNATI,T4N.MF-O,
575,CINCINNATI,CINCINNATI,T4N.MF-O,
576,CINCINNATI,CINCINNATI,T5N.LS,
577,CINCINNATI,CINCINNATI,T5N.LS,
578,CINCINNATI,CINCINNATI,T5MS,
579,CINCINNATI,CINCINNATI,T5MS-O,
699,CINCINNATI,CINCINNATI,T5N.LS,
700,CINCINNATI,CINCINNATI,T4N.SF-O,
701,CINCINNATI,CINCINNATI,CC-P,
702,CINCINNATI,CINCINNATI,PR,
703,CINCINNATI,CINCINNATI,RM-1.2,
704,CINCINNATI,CINCINNATI,SF-6,
705,CINCINNATI,CINCINNATI,CC-A,
841,CINCINNATI,CINCINNATI,ML,
842,CINCINNATI,CINCINNATI,SF-2,
843,CINCINNATI,CINCINNATI,RM-1.2,
844,CINCINNATI,CINCINNATI,CC-M,
845,CINCINNATI,CINCINNATI,RMX,
846,CINCINNATI,CINCINNATI,OG,
847,CINCINNATI,CINCINNATI,SF-2,
988,CINCINNATI,CINCINNATI,PR,
989,CINCINNATI,CINCINNATI,MG,
990,CINCINNATI,CINCINNATI,RM-0.7,
991,CINCINNATI,CINCINNATI,CN-P,
992,CINCINNATI,CINCINNATI,UM,
993,CINCINNATI,CINCINNATI,RM-0.7,
994,CINCINNATI,CINCINNATI,RM-1.2,
995,CINCINNATI,CINCINNATI,PR,
580,CINCINNATI,CINCINNATI,OL,
581,CINCINNATI,CINCINNATI,RM-1.2,
582,CINCINNATI,CINCINNATI,SF-4,
583,CINCINNATI,CINCINNATI,MG,
584,CINCINNATI,CINCINNATI,RM-1.2,
585,CINCINNATI,CINCINNATI,RM-1.2,
586,CINCINNATI,CINCINNATI,RMX,
706,CINCINNATI,CINCINNATI,CN-M,
707,CINCINNATI,CINCINNATI,SF-20,
708,CINCINNATI,CINCINNATI,SF-4,
709,CINCINNATI,CINCINNATI,CG-A,
710,CINCINNATI,CINCINNATI,SF-6,
711,CINCINNATI,CINCINNATI,PR,
712,CINCINNATI,CINCINNATI,RM-2.0,
848,CINCINNATI,CINCINNATI,IR,
849,CINCINNATI,CINCINNATI,RM-2.0,
850,CINCINNATI,CINCINNATI,RF-M,
851,CINCINNATI,CINCINNATI,PR,
852,CINCINNATI,CINCINNATI,RM-2.0,
853,CINCINNATI,CINCINNATI,RM-2.0,
937,CINCINNATI,CINCINNATI,SF-6,
938,CINCINNATI,CINCINNATI,SF-10,
939,CINCINNATI,CINCINNATI,CN-M,
940,CINCINNATI,CINCINNATI,SF-20,
941,CINCINNATI,CINCINNATI,RM-1.2,
942,CINCINNATI,CINCINNATI,RM-0.7,
943,CINCINNATI,CINCINNATI,RF-R,
944,CINCINNATI,CINCINNATI,ML,
945,CINCINNATI,CINCINNATI,PR,
946,CINCINNATI,CINCINNATI,ME,
947,CINCINNATI,CINCINNATI,CC-A,
948,CINCINNATI,CINCINNATI,RM-2.0,
587,CINCINNATI,CINCINNATI,CN-M,
588,CINCINNATI,CINCINNATI,RMX,
589,CINCINNATI,CINCINNATI,SF-4,
590,CINCINNATI,CINCINNATI,SF-4,
591,CINCINNATI,CINCINNATI,SF-4,
592,CINCINNATI,CINCINNATI,SF-10,
713,CINCINNATI,CINCINNATI,SF-6,
714,CINCINNATI,CINCINNATI,IR,
715,CINCINNATI,CINCINNATI,CC-P,
716,CINCINNATI,CINCINNATI,SF-2,
717,CINCINNATI,CINCINNATI,PR,
718,CINCINNATI,CINCINNATI,PR,
719,CINCINNATI,CINCINNATI,RM-2.0,
720,CINCINNATI,CINCINNATI,PR,
721,CINCINNATI,CINCINNATI,RM-2.0,
722,CINCINNATI,CINCINNATI,PR,
723,CINCINNATI,CINCINNATI,CC-P,
724,CINCINNATI,CINCINNATI,PR,
725,CINCINNATI,CINCINNATI,PR,
726,CINCINNATI,CINCINNATI,PR,
854,CINCINNATI,CINCINNATI,SF-4,
855,CINCINNATI,CINCINNATI,SF-6,
856,CINCINNATI,CINCINNATI,RM-1.2,
857,CINCINNATI,CINCINNATI,CG-A,
858,CINCINNATI,CINCINNATI,IR,
859,CINCINNATI,CINCINNATI,RM-1.2,
860,CINCINNATI,CINCINNATI,SF-2,
861,CINCINNATI,CINCINNATI,PR,
862,CINCINNATI,CINCINNATI,RMX,
863,CINCINNATI,CINCINNATI,PR,
864,CINCINNATI,CINCINNATI,SF-4,
969,CINCINNATI,CINCINNATI,SF-6,
970,CINCINNATI,CINCINNATI,CC-A,
971,CINCINNATI,CINCINNATI,CC-M,
972,CINCINNATI,CINCINNATI,MG,
973,CINCINNATI,CINCINNATI,SF-10,
974,CINCINNATI,CINCINNATI,OL,
975,CINCINNATI,CINCINNATI,PR,
976,CINCINNATI,CINCINNATI,PR,
593,CINCINNATI,CINCINNATI,SF-20,
594,CINCINNATI,CINCINNATI,RM-2.0,
595,CINCINNATI,CINCINNATI,SF-4,
596,CINCINNATI,CINCINNATI,OL,
597,CINCINNATI,CINCINNATI,SF-2,
598,CINCINNATI,CINCINNATI,PR,
599,CINCINNATI,CINCINNATI,PR,
600,CINCINNATI,CINCINNATI,RM-1.2,
601,CINCINNATI,CINCINNATI,PR,
727,CINCINNATI,CINCINNATI,PR,
728,CINCINNATI,CINCINNATI,RM-1.2,
729,CINCINNATI,CINCINNATI,RM-1.2,
730,CINCINNATI,CINCINNATI,RM-1.2,
731,CINCINNATI,CINCINNATI,IR,
732,CINCINNATI,CINCINNATI,CC-A,
733,CINCINNATI,CINCINNATI,MA,
734,CINCINNATI,CINCINNATI,IR,
865,CINCINNATI,CINCINNATI,OL,
866,CINCINNATI,CINCINNATI,CN-M,
867,CINCINNATI,CINCINNATI,SF-6,
868,CINCINNATI,CINCINNATI,RM-2.0,
869,CINCINNATI,CINCINNATI,CC-M,
870,CINCINNATI,CINCINNATI,PR,
996,CINCINNATI,CINCINNATI,RM-2.0,
997,CINCINNATI,CINCINNATI,SF-4,
998,CINCINNATI,CINCINNATI,SF-4,
999,CINCINNATI,CINCINNATI,SF-20,
1000,CINCINNATI,CINCINNATI,PR,
1001,CINCINNATI,CINCINNATI,PR,
1002,CINCINNATI,CINCINNATI,PR,
602,CINCINNATI,CINCINNATI,T3N,
603,CINCINNATI,CINCINNATI,T4N.MF,
604,CINCINNATI,CINCINNATI,T4N.MF,
605,CINCINNATI,CINCINNATI,T4N.MF,
606,CINCINNATI,CINCINNATI,T4N.MF,
607,CINCINNATI,CINCINNATI,T4N.MF,
608,CINCINNATI,CINCINNATI,RM-2.0,
609,CINCINNATI,CINCINNATI,SF-10,
610,CINCINNATI,CINCINNATI,RM-1.2,
611,CINCINNATI,CINCINNATI,CC-M,
612,CINCINNATI,CINCINNATI,ML,
735,CINCINNATI,CINCINNATI,PR,
736,CINCINNATI,CINCINNATI,OL,
737,CINCINNATI,CINCINNATI,RM-2.0,
738,CINCINNATI,CINCINNATI,ML,
739,CINCINNATI,CINCINNATI,OL,
740,CINCINNATI,CINCINNATI,SF-4,
741,CINCINNATI,CINCINNATI,PR,
742,CINCINNATI,CINCINNATI,MG,
743,CINCINNATI,CINCINNATI,PR,
744,CINCINNATI,CINCINNATI,OG,
745,CINCINNATI,CINCINNATI,CN-M,
746,CINCINNATI,CINCINNATI,PR,
747,CINCINNATI,CINCINNATI,PR,
871,CINCINNATI,CINCINNATI,SF-4,
872,CINCINNATI,CINCINNATI,PR,
873,CINCINNATI,CINCINNATI,CC-M,
874,CINCINNATI,CINCINNATI,T4N.SF-O,
875,CINCINNATI,CINCINNATI,T4N.SF-O,
876,CINCINNATI,CINCINNATI,T4N.MF-O,
877,CINCINNATI,CINCINNATI,T4N.MF-O,
878,CINCINNATI,CINCINNATI,T4N.MF-O,
949,CINCINNATI,CINCINNATI,SF-6,
950,CINCINNATI,CINCINNATI,IR,
951,CINCINNATI,CINCINNATI,RM-1.2,
952,CINCINNATI,CINCINNATI,RF-R,
953,CINCINNATI,CINCINNATI,RM-1.2,
954,CINCINNATI,CINCINNATI,MG,
613,CINCINNATI,CINCINNATI,PR,
614,CINCINNATI,CINCINNATI,ML,
615,CINCINNATI,CINCINNATI,RM-2.0,
616,CINCINNATI,CINCINNATI,CN-P,
617,CINCINNATI,CINCINNATI,PR,
618,CINCINNATI,CINCINNATI,SF-4,
619,CINCINNATI,CINCINNATI,OL,
620,CINCINNATI,CINCINNATI,SF-10,
621,CINCINNATI,CINCINNATI,CC-P,
622,CINCINNATI,CINCINNATI,MG,
748,CINCINNATI,CINCINNATI,SF-20,
749,CINCINNATI,CINCINNATI,RM-1.2,
750,CINCINNATI,CINCINNATI,SF-10,
751,CINCINNATI,CINCINNATI,RM-2.0,
752,CINCINNATI,CINCINNATI,RM-2.0,
753,CINCINNATI,CINCINNATI,RM-1.2,
754,CINCINNATI,CINCINNATI,SF-4,
755,CINCINNATI,CINCINNATI,PR,
756,CINCINNATI,CINCINNATI,SF-2,
757,CINCINNATI,CINCINNATI,CN-P,
879,CINCINNATI,CINCINNATI,T4N.SF,
880,CINCINNATI,CINCINNATI,T4N.SF,
881,CINCINNATI,CINCINNATI,T4N.MF,
882,CINCINNATI,CINCINNATI,RM-1.2,
883,CINCINNATI,CINCINNATI,RM-1.2,
884,CINCINNATI,CINCINNATI,CG-A,
885,CINCINNATI,CINCINNATI,PR,
886,CINCINNATI,CINCINNATI,T5N.SS-O,
977,CINCINNATI,CINCINNATI,RM-2.0,
978,CINCINNATI,CINCINNATI,RM-2.0,
979,CINCINNATI,CINCINNATI,RM-2.0,
623,CINCINNATI,CINCINNATI,RMX,
624,CINCINNATI,CINCINNATI,PR,
625,CINCINNATI,CINCINNATI,RM-2.0,
626,CINCINNATI,CINCINNATI,SF-10,
627,CINCINNATI,CINCINNATI,RM-2.0,
628,CINCINNATI,CINCINNATI,SF-6,
629,CINCINNATI,CINCINNATI,PR,
758,CINCINNATI,CINCINNATI,PR,
759,CINCINNATI,CINCINNATI,PR,
760,CINCINNATI,CINCINNATI,SF-6,
761,CINCINNATI,CINCINNATI,SF-2,
762,CINCINNATI,CINCINNATI,RMX,
763,CINCINNATI,CINCINNATI,SF-6,
764,CINCINNATI,CINCINNATI,CN-P,
765,CINCINNATI,CINCINNATI,CN-P,
766,CINCINNATI,CINCINNATI,SF-6,
887,CINCINNATI,CINCINNATI,T5N.LS-O,
888,CINCINNATI,CINCINNATI,SF-4,
889,CINCINNATI,CINCINNATI,SF-10,
890,CINCINNATI,CINCINNATI,RMX,
891,CINCINNATI,CINCINNATI,SF-2,
892,CINCINNATI,CINCINNATI,SF-20,
1003,CINCINNATI,CINCINNATI,PR,
1004,CINCINNATI,CINCINNATI,SF-20,
1005,CINCINNATI,CINCINNATI,PR,
1006,CINCINNATI,CINCINNATI,SF-20,
1007,CINCINNATI,CINCINNATI,CC-P,
1008,CINCINNATI,CINCINNATI,CC-P,
1009,CINCINNATI,CINCINNATI,RF-R,
1010,CINCINNATI,CINCINNATI,CN-M,
1011,CINCINNATI,CINCINNATI,SF-2,
630,CINCINNATI,CINCINNATI,PR,
631,CINCINNATI,CINCINNATI,CC-M,
632,CINCINNATI,CINCINNATI,SF-10,
633,CINCINNATI,CINCINNATI,T5MS,
634,CINCINNATI,CINCINNATI,T4N.MF-O,
635,CINCINNATI,CINCINNATI,T5MS-O,
636,CINCINNATI,CINCINNATI,T5N.SS,
637,CINCINNATI,CINCINNATI,T5N.SS-O,
767,CINCINNATI,CINCINNATI,RF-C,
768,CINCINNATI,CINCINNATI,CN-P,
769,CINCINNATI,CINCINNATI,RM-2.0,
770,CINCINNATI,CINCINNATI,OL,
771,CINCINNATI,CINCINNATI,RM-2.0,
772,CINCINNATI,CINCINNATI,MG,
773,CINCINNATI,CINCINNATI,RMX,
774,CINCINNATI,CINCINNATI,CN-P,
775,CINCINNATI,CINCINNATI,RM-2.0,
776,CINCINNATI,CINCINNATI,CC-M,
893,CINCINNATI,CINCINNATI,SF-10,
894,CINCINNATI,CINCINNATI,RM-2.0,
895,CINCINNATI,CINCINNATI,SF-6,
