"cell_id","binary_predictor"
20012,1
20013,0
20015,0
20016,0
20019,0
20020,0
20021,0
20022,0
30012,1
30013,0
30014,0
30015,1
30016,0
30017,0
30018,0
30019,0
30020,0
30021,0
30022,0
30046,0
40013,0
40014,0
40015,0
40016,1
40017,0
40018,0
40019,0
40020,0
40021,0
40022,0
40023,0
40024,0
40046,0
50014,0
50015,0
50016,0
50017,1
50018,0
50019,0
50020,0
50021,0
50022,1
50023,0
50024,0
50046,1
50047,0
50048,0
50049,0
50050,0
60014,0
60015,0
60016,0
60017,1
60018,0
60019,0
60020,0
60021,0
60022,0
60023,0
60024,0
60046,1
60047,0
60048,0
60049,1
60050,0
70013,0
70014,0
70015,1
70016,0
70017,0
70018,0
70019,0
70020,0
70021,0
70022,0
70023,0
70024,0
70025,0
70045,1
70046,1
70047,0
70048,0
70049,1
70050,0
80013,0
80014,0
80015,0
80016,0
80017,0
80018,0
80019,1
80020,1
80021,1
80022,0
80023,0
80024,0
80025,0
80026,0
80045,0
80046,0
80047,0
80048,0
80049,0
80050,1
80051,0
80052,1
90013,0
90014,0
90015,0
90016,0
90017,1
90018,1
90019,1
90020,1
90021,1
90022,1
90023,0
90024,0
90025,0
90026,0
90045,0
90046,0
90047,0
90048,0
90049,1
90050,0
90051,0
90052,0
100014,1
100015,0
100016,1
100017,1
100018,1
100019,0
100020,0
100021,0
100022,0
100023,0
100024,0
100025,0
100026,0
100045,0
100046,0
100047,0
100048,0
100049,1
100050,1
100051,0
100052,0
110014,1
110015,0
110016,0
110017,0
110018,0
110019,1
110020,1
110021,0
110022,0
110023,0
110024,0
110025,0
110045,1
110046,0
110047,0
110048,0
110049,0
110050,1
110051,1
110052,0
120014,0
120015,0
120016,0
120017,0
120018,0
120019,1
120020,0
120021,0
120022,0
120023,0
120024,0
120045,0
120046,0
120047,0
120048,0
120049,1
120050,1
120051,1
120052,0
130015,0
130016,0
130017,0
130018,0
130019,0
130020,0
130021,0
130023,0
130024,0
130033,0
130045,0
130046,0
130047,0
130048,0
130049,1
130050,1
130051,0
130052,0
140014,0
140015,0
140016,0
140017,0
140018,0
140019,0
140024,0
140025,0
140030,0
140031,0
140032,0
140033,0
140034,0
140035,0
140036,0
140045,0
140046,0
140047,0
140048,0
140049,0
140050,1
140051,0
140052,0
150014,0
150017,0
150018,0
150024,0
150026,0
150028,0
150029,0
150030,0
150031,0
150032,0
150033,0
150034,0
150035,0
150036,0
150037,0
150038,0
150045,0
150046,0
150047,0
150048,0
150049,0
150050,0
150051,0
150052,0
150055,0
150056,1
150061,0
160017,0
160018,0
160026,0
160027,0
160028,0
160029,0
160030,0
160031,0
160032,0
160033,0
160034,0
160035,0
160036,0
160037,0
160038,0
160045,1
160046,0
160047,0
160048,0
160049,0
160050,1
160051,0
160052,0
160053,0
160056,0
160057,0
160060,1
160061,1
170008,0
170009,0
170017,0
170018,0
170026,0
170027,0
170028,0
170029,0
170030,0
170031,0
170032,0
170033,0
170034,0
170035,0
170036,0
170037,0
170038,0
170039,0
170040,0
170041,0
170042,0
170043,0
170044,1
170045,1
170046,0
170047,0
170048,0
170049,1
170050,0
170051,0
170052,0
170053,0
170056,0
170057,0
170059,0
170060,1
170061,1
180007,0
180008,0
180009,0
180010,0
180016,0
180017,0
180018,0
180022,0
180026,0
180027,0
180028,0
180029,0
180030,0
180031,0
180032,0
180033,0
180034,0
180035,0
180036,0
180037,0
180038,0
180039,0
180040,0
180041,0
180042,0
180043,0
180044,1
180045,0
180046,0
180047,0
180048,0
180049,0
180050,1
180051,0
180052,0
180053,0
180056,0
180057,0
180058,0
180059,0
180060,0
180061,0
190006,0
190007,0
190008,0
190009,0
190010,0
190011,0
190016,0
190017,0
190018,0
190019,0
190021,0
190022,0
190023,0
190025,0
190026,0
190027,0
190028,0
190029,0
190030,0
190031,0
190032,0
190033,0
190034,0
190035,0
190036,0
190037,0
190038,0
190039,0
190040,0
190041,0
190042,0
190043,0
190044,0
190045,0
190046,0
190047,0
190048,0
190049,0
190050,0
190051,0
190052,0
190053,0
190056,0
190057,0
190058,0
190059,0
190060,0
190061,0
190062,0
200005,0
200006,0
200007,0
200008,0
200009,0
200010,0
200011,0
200012,0
200013,0
200014,0
200015,0
200016,0
200017,0
200018,0
200019,0
200020,0
200021,0
200022,0
200023,0
200024,0
200025,0
200026,0
200027,0
200028,0
200029,0
200030,0
200031,0
200032,1
200033,0
200034,0
200035,0
200036,0
200037,0
200038,0
200039,0
200040,0
200041,0
200042,0
200043,0
200044,0
200045,0
200046,0
200047,0
200048,0
200049,0
200050,0
200051,0
200052,0
200053,0
200056,0
200057,0
200058,1
200059,0
200060,0
200061,0
200062,0
200063,0
200064,0
210004,0
210005,0
210006,0
210007,0
210008,0
210009,0
210010,0
210011,0
210012,0
210013,0
210014,0
210015,0
210016,0
210017,0
210018,0
210019,0
210020,0
210021,0
210022,0
210023,0
210024,0
210025,0
210026,0
210027,0
210028,0
210029,0
210030,0
210031,0
210032,1
210033,0
210034,0
210035,0
210036,0
210037,0
210038,0
210039,0
210040,0
210041,1
210042,0
210043,0
210044,0
210045,0
210046,0
210047,0
210048,0
210049,0
210050,0
210051,0
210052,0
210053,0
210056,0
210057,0
210058,1
210059,1
210060,0
210061,0
210062,1
210063,0
210064,0
220004,0
220005,0
220006,0
220007,0
220008,0
220009,0
220010,0
220011,0
220012,0
220013,0
220014,0
220015,0
220016,0
220017,0
220018,0
220019,0
220020,0
220021,0
220022,0
220023,0
220024,0
220025,0
220026,0
220027,0
220028,0
220029,0
220030,0
220031,0
220032,1
220033,1
220034,0
220035,0
220036,0
220037,0
220038,0
220039,0
220040,0
220041,1
220042,0
220043,0
220044,0
220045,0
220046,1
220047,0
220048,0
220049,1
220050,0
220051,1
220052,1
220053,0
220057,0
220058,0
220059,0
220060,0
220061,1
220062,1
220063,0
220064,0
230003,0
230004,0
230005,0
230006,0
230007,0
230008,0
230009,0
230010,0
230011,0
230012,0
230013,0
230014,0
230015,0
230016,0
230017,0
230018,0
230019,0
230020,0
230021,0
230022,0
230023,0
230024,0
230025,0
230026,0
230027,0
230028,0
230029,0
230030,0
230031,0
230032,0
230033,0
230034,0
230035,0
230036,0
230037,1
230038,0
230039,0
230040,0
230041,1
230042,0
230043,0
230044,0
230045,0
230046,1
230047,0
230048,0
230049,1
230050,1
230051,0
230057,0
230058,0
230059,0
230060,1
230061,1
230062,0
230063,0
230064,0
240002,0
240003,0
240004,1
240005,1
240006,0
240007,0
240008,0
240009,0
240010,0
240011,0
240012,0
240013,0
240014,0
240015,0
240016,0
240017,0
240018,0
240019,0
240020,0
240021,0
240022,0
240023,0
240024,0
240025,0
240026,0
240027,1
240028,0
240029,0
240030,0
240031,0
240032,0
240033,0
240034,0
240035,0
240036,1
240037,1
240038,1
240039,0
240040,0
240041,1
240042,1
240043,1
240044,0
240045,0
240046,1
240047,1
240048,1
240049,1
240050,0
240051,1
240052,1
240057,0
240058,0
240059,0
240060,1
240061,1
240062,0
240063,0
240064,0
250002,0
250003,0
250004,1
250005,0
250006,0
250007,1
250008,0
250009,0
250010,0
250011,0
250012,0
250013,0
250014,0
250015,0
250016,0
250017,0
250018,0
250019,0
250020,0
250021,0
250022,0
250023,0
250024,0
250025,0
250026,0
250027,0
250028,0
250029,0
250030,0
250031,0
250032,0
250033,0
250034,0
250035,0
250036,1
250037,0
250038,0
250039,0
250040,0
250041,1
250042,0
250043,0
250044,0
250045,0
250046,1
250047,1
250048,1
250049,0
250050,1
250051,1
250052,0
250056,0
250057,0
250058,0
250059,1
250060,1
250061,0
250062,0
260003,0
260004,0
260005,0
260006,0
260007,1
260008,0
260009,0
260010,0
260011,0
260012,0
260013,0
260014,0
260015,0
260016,0
260017,0
260018,0
260019,0
260020,0
260021,0
260022,0
260023,0
260024,0
260025,0
260026,0
260027,0
260028,0
260029,0
260030,0
260031,0
260032,0
260033,0
260034,0
260035,1
260036,0
260037,0
260038,0
260039,1
260040,0
260041,0
260042,0
260043,1
260044,1
260045,0
260046,1
260047,1
260048,0
260049,1
260050,1
260051,1
260052,0
260056,1
260057,0
260058,1
260059,1
260060,0
260061,1
270004,0
270005,0
270006,0
270007,0
270008,0
270009,0
270010,0
270011,0
270012,0
270013,0
270014,0
270015,0
270016,0
270017,0
270018,0
270019,0
270020,0
270021,0
270022,0
270023,0
270024,0
270025,0
270026,0
270027,0
270028,0
270029,0
270030,0
270031,0
270032,0
270033,0
270034,0
270035,1
270036,0
270037,1
270038,0
270039,1
270040,0
270041,1
270042,1
270043,1
270044,1
270045,0
270046,0
270047,1
270048,0
270049,0
270050,1
270051,0
270052,0
270055,0
270056,0
270057,1
270058,1
270059,1
270060,0
270061,0
280006,0
280007,0
280008,0
280009,0
280010,0
280011,0
280012,0
280013,0
280014,0
280015,0
280016,0
280017,0
280018,0
280019,0
280020,0
280021,0
280022,0
280023,0
280024,0
280025,0
280026,0
280027,0
280028,0
280029,0
280030,0
280031,0
280032,0
280033,0
280034,0
280035,1
280036,1
280037,1
280038,0
280039,0
280040,0
280041,0
280042,1
280043,1
280044,1
280045,0
280046,1
280047,1
280048,0
280049,0
280050,0
280051,0
280052,0
280053,0
280054,0
280055,0
280056,0
280057,1
280058,0
280059,1
280060,0
280061,0
290011,0
290016,0
290017,0
290018,0
290019,0
290021,0
290022,0
290023,1
290024,1
290025,0
290026,0
290027,0
290028,0
290029,0
290030,0
290031,0
290032,0
290033,0
290034,0
290035,0
290036,1
290037,0
290038,1
290039,0
290040,1
290041,1
290042,1
290043,1
290044,0
290045,1
290046,1
290047,0
290048,0
290049,0
290050,0
290051,0
290052,0
290053,0
290054,0
290055,0
290056,0
290057,1
290058,0
290059,0
290060,0
290061,1
300024,0
300025,0
300026,0
300027,0
300028,1
300029,1
300030,0
300031,0
300032,1
300033,0
300034,0
300035,1
300036,0
300037,0
300038,1
300039,0
300040,0
300041,1
300042,0
300043,1
300044,0
300045,0
300046,0
300047,0
300048,0
300049,0
300050,0
300051,0
300053,0
300054,0
300055,1
300056,1
300057,0
300058,1
300059,0
300060,0
300061,0
310026,0
310027,0
310028,0
310029,1
310030,1
310031,0
310032,0
310033,0
310034,0
310035,0
310036,0
310037,0
310038,0
310039,1
310040,0
310041,0
310042,0
310043,0
310044,1
310045,0
310046,0
310047,0
310048,0
310054,0
310055,0
310056,0
310057,0
310058,0
310059,0
310060,0
310061,0
310062,0
320027,0
320028,0
320029,1
320030,1
320031,0
320032,0
320033,0
320034,0
320035,1
320036,0
320037,0
320038,0
320039,1
320040,1
320041,0
320042,0
320043,0
320044,0
320045,0
320046,0
320047,0
320053,0
320056,1
320057,0
320058,1
320059,0
330028,0
330029,0
330030,0
330031,1
330032,0
330033,0
330034,0
330035,0
330036,0
330037,0
330038,1
330039,1
330040,1
330041,1
330042,1
330043,1
330044,0
330045,0
330046,1
330056,1
330057,0
330058,0
330059,0
340029,0
340030,0
340031,1
340032,0
340033,0
340034,0
340035,0
340036,0
340037,0
340038,0
340039,1
340040,1
340041,1
340042,1
340057,0
340058,0
340059,0
350030,0
350031,0
350032,0
350033,0
350034,0
350035,0
350036,0
350037,0
350038,0
350039,0
350040,1
350041,1
350042,1
350057,0
350058,0
350059,0
360031,0
360032,0
360033,0
360034,0
360035,0
360036,0
360037,0
360038,0
360039,1
360040,1
360041,0
360042,1
360044,0
360058,0
360059,0
370031,0
370032,0
370033,0
370034,0
370035,0
370036,0
370037,0
370038,0
370039,1
370040,1
370041,0
370042,0
370043,0
370058,0
370059,0
370068,0
380032,0
380033,0
380034,0
380035,0
380036,0
380037,0
380038,0
380039,0
380040,1
380041,1
380042,0
380043,0
380058,0
380059,0
380066,0
380067,0
380068,0
380070,1
390032,0
390033,0
390034,0
390035,0
390036,0
390037,0
390038,0
390039,0
390040,0
390041,1
390042,0
390043,0
390058,0
390059,1
390060,1
390061,0
390062,0
390063,1
390064,0
390065,0
390066,0
390067,1
390068,1
390069,1
390070,1
390071,0
390072,0
400032,0
400033,0
400034,0
400035,0
400036,0
400037,0
400038,1
400039,0
400040,0
400041,0
400042,0
400043,0
400058,0
400059,0
400060,0
400061,1
400062,0
400063,1
400064,0
400065,1
400066,1
400067,1
400068,1
400069,1
400070,1
400071,0
400072,0
410033,0
410034,0
410035,0
410036,0
410037,0
410038,1
410039,0
410040,0
410041,0
410042,0
410043,0
410053,0
410054,0
410055,0
410056,0
410057,1
410058,0
410059,0
410060,0
410061,1
410062,1
410063,0
410064,1
410065,1
410066,1
410067,0
410068,1
410069,0
410070,0
410071,0
410072,0
420033,0
420034,1
420035,0
420036,1
420037,1
420038,0
420039,0
420040,0
420041,0
420042,1
420043,1
420053,0
420054,0
420055,0
420056,1
420057,0
420058,0
420059,1
420060,0
420061,0
420062,1
420063,1
420064,1
420065,0
420066,0
420067,0
420068,1
420069,0
420070,0
420071,0
420072,0
420073,0
420074,1
420075,1
430033,1
430037,1
430038,0
430039,0
430040,1
430041,0
430042,1
430043,1
430053,0
430054,0
430055,0
430056,0
430057,0
430058,0
430059,1
430060,0
430061,1
430062,0
430063,1
430064,0
430065,0
430066,1
430067,0
430068,0
430069,0
430070,0
430071,1
430072,0
430073,0
430074,0
430075,0
440033,0
440038,0
440039,1
440040,0
440041,1
440042,1
440043,1
440051,0
440052,0
440053,0
440054,1
440055,1
440056,1
440057,1
440058,0
440059,0
440060,0
440061,0
440062,1
440063,0
440064,0
440065,0
440066,0
440067,0
440068,1
440069,1
440070,1
440071,0
440072,1
440073,1
440074,0
440075,0
450033,0
450038,0
450039,1
450040,1
450041,0
450042,0
450043,1
450051,0
450052,1
450053,0
450054,1
450055,1
450056,0
450057,1
450058,0
450059,0
450060,0
450061,1
450062,1
450063,1
450064,0
450065,0
450066,0
450067,0
450068,1
450069,0
450070,0
450071,0
450072,1
450073,1
450074,1
460033,1
460038,0
460039,1
460040,1
460041,0
460042,1
460043,0
460044,1
460045,0
460046,0
460047,0
460048,1
460051,1
460052,1
460053,0
460054,0
460055,0
460056,1
460057,1
460058,0
460059,0
460060,0
460061,0
460062,0
460063,0
460064,0
460065,0
460066,0
460067,0
460068,0
460069,0
460070,1
460071,0
460072,0
460073,0
460074,0
470032,0
470037,1
470038,1
470039,0
470040,1
470041,1
470042,0
470043,1
470044,1
470045,0
470046,0
470047,0
470048,1
470049,1
470050,0
470051,0
470052,0
470053,0
470054,0
470055,1
470056,1
470057,0
470058,1
470059,0
470060,0
470061,1
470062,0
470063,1
470064,0
470065,1
470066,0
470067,1
470068,0
470069,0
470070,0
470071,1
470072,1
470073,1
470074,1
480032,0
480037,1
480038,1
480039,1
480040,1
480041,0
480042,0
480043,0
480044,1
480045,0
480046,0
480047,0
480048,0
480049,0
480050,0
480051,0
480052,0
480053,1
480054,0
480055,0
480056,1
480057,1
480058,0
480059,0
480060,0
480061,0
480062,0
480063,1
480064,1
480065,1
480066,1
480067,1
480068,0
480069,0
480070,0
490031,0
490032,0
490037,0
490038,1
490039,1
490040,0
490041,1
490042,0
490043,0
490044,0
490045,1
490046,0
490047,0
490048,1
490049,0
490050,0
490051,0
490052,0
490053,1
490054,0
490055,1
490056,1
490057,1
490058,1
490059,1
490060,1
490061,0
490062,0
490063,0
490064,1
490065,0
490066,1
490067,1
490068,0
490069,0
490070,0
490073,0
500031,0
500036,1
500037,0
500038,0
500039,0
500040,0
500041,0
500042,0
500043,0
500044,1
500045,0
500046,0
500047,0
500048,1
500049,0
500050,0
500051,0
500052,0
500053,1
500054,0
500055,0
500056,1
500057,1
500058,0
500059,0
500060,1
500061,1
500062,1
500063,1
500064,1
500065,1
500066,1
500067,0
500068,0
500069,0
500070,0
500073,0
500074,0
500075,0
510030,0
510031,0
510036,0
510037,1
510038,0
510039,0
510040,1
510041,0
510042,1
510043,1
510044,0
510045,1
510046,1
510047,1
510048,0
510049,0
510050,0
510051,0
510052,0
510055,0
510056,0
510057,0
510058,1
510059,0
510060,1
510063,1
510064,1
510065,0
510066,1
510067,0
510068,0
510069,0
510070,0
510073,1
510074,1
510075,1
520029,0
520030,0
520032,0
520033,0
520034,1
520035,1
520037,1
520038,0
520039,1
520040,1
520041,1
520042,1
520043,1
520044,0
520045,1
520046,1
520047,1
520048,1
520049,0
520050,0
520056,0
520057,0
520058,1
520059,0
520063,1
520064,0
520065,1
520066,1
520067,0
520068,0
520069,0
520070,0
520073,0
520074,0
520075,0
530028,0
530029,0
530030,0
530031,0
530032,0
530033,1
530034,1
530035,1
530036,0
530037,1
530038,1
530039,0
530040,1
530041,0
530042,0
530043,1
530044,1
530045,1
530046,1
530047,0
530048,0
530049,0
530050,0
530056,0
530057,0
530063,0
530064,0
530065,0
530066,0
530067,0
530068,0
530069,0
530070,0
530073,0
530074,0
530075,0
530076,0
540027,0
540028,1
540029,0
540030,0
540031,0
540032,1
540033,1
540034,1
540035,1
540036,1
540037,1
540038,1
540039,1
540040,0
540041,1
540042,1
540043,1
540044,1
540045,0
540046,1
540047,0
540048,0
540049,1
540056,0
540063,0
540064,0
540065,0
540066,0
540067,0
540068,0
540069,0
540070,0
540073,0
540074,0
540075,0
540076,0
550026,1
550027,0
550028,0
550029,1
550030,0
550031,0
550032,1
550033,1
550034,1
550035,1
550036,1
550037,1
550038,1
550039,1
550040,1
550041,1
550042,1
550043,1
550044,1
550045,0
550046,1
550047,0
550048,0
550049,1
550063,0
550064,0
550065,0
550066,0
550067,0
550068,0
550069,0
550070,0
550073,0
550074,0
550075,0
550076,0
560024,0
560025,0
560026,0
560027,0
560028,0
560029,0
560030,0
560031,1
560032,1
560033,1
560034,1
560035,1
560036,1
560037,1
560038,1
560039,1
560040,1
560041,1
560042,1
560043,1
560044,1
560045,1
560046,0
560047,0
560048,0
560049,0
560062,0
560063,0
560064,0
560065,0
560066,0
560069,0
570023,0
570024,1
570025,1
570026,1
570027,1
570028,0
570029,0
570030,0
570031,1
570032,0
570033,0
570034,0
570035,1
570036,1
570037,0
570038,1
570039,1
570040,1
570041,0
570042,1
570043,1
570044,0
570045,1
570046,0
570047,0
570048,0
570049,0
570061,0
570062,0
570063,0
570064,0
570065,0
570066,0
580023,1
580024,1
580025,0
580026,1
580027,1
580028,1
580029,0
580030,1
580031,1
580032,0
580033,0
580034,0
580035,1
580036,1
580037,1
580038,1
580039,1
580040,0
580041,1
580042,1
580043,1
580044,1
580045,0
580046,0
580047,0
580048,0
580049,1
580060,0
580061,1
580062,0
580063,0
580064,0
580065,0
580066,0
590022,0
590023,1
590024,0
590025,1
590026,0
590027,0
590028,1
590024,1
590025,1
590026,0
590027,1
590028,0
590029,1
590030,0
590031,1
590032,1
590033,1
590034,1
590035,1
590036,1
590037,1
590038,1
590039,1
590040,1
590041,1
590042,1
590043,1
590044,1
590045,0
590046,0
590047,0
590048,0
590049,0
590059,0
590060,1
590061,0
590062,0
590063,0
590064,0
590065,0
590066,0
600021,0
600022,1
600023,1
600024,1
600025,1
600026,1
600027,1
600028,1
600029,1
600030,1
600031,1
600032,1
600033,1
600034,1
600035,1
600036,1
600037,1
600038,1
600039,1
600040,0
600041,1
600042,0
600043,0
600044,1
600045,0
600046,0
600047,1
600048,0
600049,1
600059,0
600060,0
600061,0
600062,0
600063,0
600064,0
600065,0
600066,0
600067,0
610021,1
610022,1
610023,1
610024,1
610025,0
610026,1
610027,1
610028,1
610029,1
610030,0
610031,0
610032,0
610033,1
610034,1
610035,1
610036,1
610037,1
610038,1
610039,1
610040,1
610041,1
610042,1
610043,0
610044,1
610045,0
610046,0
610047,1
610048,1
610049,1
610050,1
610056,0
610059,0
610060,0
610061,0
610062,0
610063,0
610064,0
610065,0
610066,0
610067,0
620021,1
620022,1
620023,1
620024,1
620025,1
620026,1
620027,1
620028,1
620029,1
620030,0
620031,1
620032,1
620033,1
620034,1
620035,1
620036,1
620037,1
620038,1
620039,0
620040,1
620041,1
620042,0
620043,0
620044,1
620045,1
620046,1
620047,0
620048,0
620049,0
620050,1
620051,0
620052,0
620053,0
620054,0
620055,0
620056,0
620057,0
620058,0
620059,0
620060,0
620061,0
620062,0
620063,0
620064,0
620065,0
620066,0
620067,0
630020,1
630021,1
630022,1
630023,1
630024,1
630025,1
630026,1
630027,1
630028,1
630029,1
630030,1
630031,1
630032,1
630033,0
630034,1
630035,1
630036,1
630037,1
630038,1
630039,1
630040,1
630041,1
630042,1
630043,0
630044,1
630045,1
630046,1
630047,0
630048,0
630049,0
630050,0
630051,1
630052,0
630053,0
630054,0
630055,0
630056,1
630057,1
630058,1
630059,1
630060,0
630061,0
630062,0
630063,0
630064,0
630065,0
630066,0
630067,0
640020,0
640021,1
640022,1
640023,1
640024,1
640025,1
640026,1
640027,1
640028,1
640029,1
640030,1
640031,1
640032,1
640033,0
640034,1
640035,1
640036,1
640037,1
640038,1
640039,0
640040,1
640041,1
640042,0
640043,1
640044,1
640045,1
640046,0
640047,0
640048,0
640049,0
640050,0
640051,1
640052,1
640053,0
640054,0
640055,1
640056,0
640057,0
640058,1
640059,1
640060,0
640061,1
640062,1
640063,0
640064,1
640065,0
640066,0
640067,0
650020,0
650021,1
650022,1
650023,1
650024,1
650025,1
650026,1
650027,1
650028,1
650029,1
650030,1
650031,0
650032,1
